name,Affiliation,Citations
liying cheng,"Full Professor, Faculty of Education, Queen's University at Kingston Ontario Canada ",5895
wolfgang lehner,Technische Universität Dresden,7404
sergei tretyakov,"Department of Electronics and Nanoengineering, Aalto University ",22720
mikko kurimo,"Professor in Speech and Language Processing, Aalto University, Finland ",3540
bajibabu bollepalli,"PhD student, Department of Signal Processing and Acoustics, Aalto University ",267
mittul singh,"School of Electrical Engineering, Aalto University ",171
rongtian ye,Aalto University,56
shaoxiong ji,Aalto University,46
stig-arne grönroos,"Doctoral Student, Aalto University ",344
lucas ondel,Brno University of Technology,273
murali karthick baskar,"Grad student, Brno university of tehcnology ",154
hari krishna vydana,Brno University of Technology,128
martin fajcik,"PhD Student / Researcher, Brno University of Technology ",6
james nutaro,Oak Ridge National Laboratory,1670
longtu zhang,Tokyo Metropolitan University,18
tosho hirasawa,Tokyo Metropolitan University,3
tetsuya sakai,Waseda University,4537
xiaohui song,Lawrence Berkeley Lab,609
luke de oliveira,"Twilio, Lawrence Berkeley National Laboratory ",570
joey tianyi zhou,Institute of High Performance Computing,1045
rafael e. banchs,"Research Scientist, Institute for Infocomm Research, Singapore ",3054
cheoneum park,Kangwon National University,95
sungroh yoon,"Seoul National University, Electrical and Computer Engineering ",3592
kyomin jung,"Associate Professor of Electrical and Computer Engineering, Seoul National University ",1984
soo-mook moon,"Seoul National University, Department of Electrical and Computer Engineering ",1289
kang min yoo,Seoul National University,132
byeongchang kim,Graduate student at Seoul National University,95
joongbo shin,"PhD candidate, Seoul National University ",81
hwiyeol jo,Seoul National University,38
wangjin lee,"Interdisciplinary Program in Bioengineering, Seoul National University ",33
won ik cho,"Seoul National University, Department of Electrical and Computer Engineering and INMC ",20
gi-cheon kang,Seoul National University,15
federico marinelli,VUI Inc.,7
marcos zampieri,Rochester Institute of Technology,2923
matt huenerfauth,"Professor, Rochester Institute of Technology ",1827
ernest fokoué,"Professor, Rochester Institute of Technology ",741
sushant kafle,Rochester Institute of Technology,63
farhad akhbardeh,Rochester Institute of Technology,9
xiaoqi jia,"Institute of Information Engineering, CAS ",365
basma el amel boussaha,"Senior data scientist (NLP) at Della , PhD Université de Nantes ",15
emilie poirson,"Maitre de conférences, Ecole Centrale de Nantes ",446
casey casalnuovo,"University of California, Davis ",240
chenghao zhu,"Postdoctoral Fellow, Department of Nutrition, University of California, Davis ",132
junhan zhao,"University of California, Davis ",22
qingyang wu,UC Davis,15
marjorie freedman,San Jose State University,2179
paolo missier,"Professor in Large Scale Information Systems, Computing Science, Newcastle University … ",5707
nora kassner,"Center for Information and Language Processing, Ludwig Maximilian University of Munich ",25
mark steedman,"Professor of Cognitive Science, School of Informatics, University of Edinburgh ",21357
mirella lapata,"School of Informatics, Edinburgh University ",16443
bonnie webber,"Professor, School of Informatics, University of Edinburgh ",12901
junichi yamagishi,"National Institute of Informatics, Japan & University of Edinburgh, UK ",10151
sharon goldwater,"School of Informatics, University of Edinburgh ",5982
walid magdy,"School of Informatics, The University of Edinburgh ",1958
hakan bilen,"School of Informatics, University of Edinburgh ",1941
ratish puduppully,"School of Informatics, University of Edinburgh ",120
esma balkir,"PhD Student in Informatics, University of Edinburgh ",68
denis emelin,"PhD Student, ILCC, School of Informatics, The University of Edinburgh ",10
arushi goel,"Graduate Student, School of Informatics, University of Edinburgh ",6
bonan min,Raytheon BBN Technologies,909
shlomo engelson argamon,"Professor of Computer Science, Illinois Institute of Technology ",9615
pengda qin,Beijing University of Posts and Telecommunications,252
linmei hu,Beijing University of Posts and Telecommunications,166
massimo poesio,"Professor of Computational Linguistics, Queen Mary University ",10056
ian soboroff,National Institute of Standards and Technology,6283
keith curtis,National Institute of Standards and Technology,137
michael kifer,Stony Brook University,12449
h. andrew schwartz,Stony Brook University,4230
jianyuan deng,"Department of Biomedical Informatics, Stony Brook University ",54
xuewen yang,Stony Brook University,49
tiantian gao,Stony Brook University,29
jonathan rawski,Stony Brook University,16
bhavya ghai,"PhD Student, Stony Brook University ",9
lijun qian,Prairie View A&M University,3155
xishuang dong,Prairie View A&M University,313
derek howard,Howard Payne University,10
tim finin,"Willard and Lillian Hackerman Chair in Engineering, University of Maryland, Baltimore … ",43503
tim oates,"Professor of Computer Science, University of Maryland Baltimore County ",5570
ashwinkumar ganesan,"PhD Candidate, Computer Science, UMBC ",196
filipi nascimento silva,Research Scientist at Indiana University Network Science Institute,607
shijia liu,"Ph.D. Candidate, UCSD, Salk Institute ",88
yafang wang,South Dakota State University,118
