jonah berger,male
lyle ungar,male
haizhou li,male
min zhang,female
vladimir pervouchine,male
a kumaran,male
raghavendra udupa,male
jagadeesh jagarlamudi,male
ming liu,male
mitesh m. khapra,male
pushpak bhattacharyya,male
rafael e. banchs,male
vikram dendi,male
xiangyu duan,male
adam jardine,male
jeffrey heinz,male
jane chandlee,female
nick danis,male
alex alsina,male
oriol valentn,male
ayushi pandey,female
indranil dutta,male
aakanksha naik,female
graham neubig,male
eric nyberg,male
carolyn rose,female
marc dymetman,male
aarne ranta,male
krasimir angelov,male
nadine perera,female
thomas hallgren,male
dana dannells,female
maria mateva,female
shafqat mumtaz virk,male
muhammad humayoun,male
prasanth kolachina,male
normunds gruzitis,male
daniel vidal hussey,male
iulian vlad serban,male
yoshua bengio,male
sandeep subramanian,male
aaron courville,male
yikang shen,male
nathan bodenstab,male
brian roark,male
aaron dunlop,male
margaret mitchell,female
mahsa yarmohammadi,female
richard jean so,male
aaron gerow,male
khurshid ahmad,male
james evans,male
aaron jaech,male
hannaneh hajishirzi,female
noah a. smith,male
mari ostendorf,female
gideon mendels,male
julia hirschberg,female
richard townsend,male
maria liakata,female
aaron steven white,male
benjamin van durme,male
rachel rudinger,female
aasish pappu,male
alexander rudnicky,male
courtney napoles,male
brian provenzale,male
sheng chen,female
yashar mehdad,male
amanda stent,female
ratna sanyal,female
akshay soni,male
troy chevalier,male
abbas ghaddar,male
philippe langlais,male
abby levenberg,female
miles osborne,male
phil blunsom,male
david matthews,male
luciano del corro,male
gerhard weikum,male
david ziegler,male
tong wang,male
graeme hirst,male
hossam ibrahim,male
abdelrahim madany,male
abdelrahim abdelsapor,male
magdi nagi,male
abdelrahim elmadany,male
mervat gheith,female
thamar solorio,female
nizar habash,male
giovanni molina,male
mona diab,female
pradeep dasigi,male
carlos ramisch,male
polona gantar,female
wajdi zaghouani,female
houda bouamor,female
fahad alghamdi,male
kemal oflazer,male
mohamed albadrashiny,male
abdellah fourtassi,male
emmanuel dupoux,male
abdelmajid ben hamadou,male
ines turki khemakhem,female
bilel gargouri,male
noureddine loukil,male
wafa wali,female
imen elleuch,female
lamia hadrich belguith,female
chafik aloulou,male
daniel marcu,male
abdessamad echihabi,male
kevin knight,male
michael fleischman,male
radu soricut,male
mahsa mohaghegh,female
tom moir,male
mehdi mohammadi,male
areej alshutayri,female
janet watson,female
abdulrahman alosaimy,male
eric atwell,male
radu florian,male
tong zhang,female
xiaoqiang luo,male
salim roukos,male
abraham ittycheriah,male
lucian vlad lita,male
nanda kambhatla,male
zhiguo wang,male
jennifer chucarroll,female
haitao mi,male
abe ittycheriah,male
adwait ratnaparkhi,male
deepak ravichandran,male
hongyan jing,female
margo stys-budzikowska,female
r. sprugnoli,female
kai zhao,female
bing xiang,female
j. scott mccarley,male
jianming xu,male
niyu ge,female
kishore papineni,male
fei huang,male
hao wang,male
shrikanth narayanan,male
andrew gordon,male
milena petrova,female
nikolaos malandrakis,male
cecile paris,female
ari klein,male
graciela gonzalez,female
davy weissenbacher,male
graciela gonzalezhernandez,female
diego molla,male
abhijeet gupta,male
sebastian pad,male
gemma boleda,female
anupam basu,male
abhik jana,male
pawan goyal,male
animesh mukherjee,male
nikhil kanuparthi,male
dipti misra sharma,female
siva reddy,male
mark stevenson,male
abhilash inumella,male
paul michel,male
shruti rijhwani,female
abhilasha ravichander,female
alan w. black,male
abhinav sethy,male
carolina parada,female
ariya rastrow,female
bhuvana ramabhadran,female
upendra chaudhari,male
abhisek chakrabarty,male
utpal garain,male
abhishek arun,male
frank keller,male
philipp koehn,male
hieu hoang,female
barry haddow,male
abhishek laddha,male
arjun mukherjee,male
